,Unnamed: 0,Source,Target,Weight
15443,15443,11-3071.01,25-4012.00,0.00657272777433
15460,15460,11-3071.01,27-1025.00,0.00685242089483
15464,15464,11-3071.01,27-2012.01,0.00480189827443
15466,15466,11-3071.01,27-2012.03,0.00664317899773
15599,15599,11-3071.01,33-1012.00,0.00687519814841
15685,15685,11-3071.01,41-1012.00,0.00524835674529
16065,16065,11-3071.02,11-3071.03,0.00648648681934
16072,16072,11-3071.02,11-9021.00,0.00564107101868
16096,16096,11-3071.02,11-9199.07,0.00610677181074
16100,16100,11-3071.02,13-1021.00,0.00652609455437
16564,16564,11-3071.02,35-1012.00,0.00614762510857
16620,16620,11-3071.02,41-1011.00,0.00398995351268
16684,16684,11-3071.02,43-5061.00,0.00692934327082
17023,17023,11-3071.03,11-9131.00,0.00687727066216
17035,17035,11-3071.03,13-1021.00,0.00694887371185
17051,17051,11-3071.03,13-1081.00,0.00710272407199
17335,17335,11-3071.03,27-2012.01,0.00593295134872
17337,17337,11-3071.03,27-2012.03,0.00669429672143
17555,17555,11-3071.03,41-1011.00,0.00658758023227
17936,17936,11-3111.00,11-3121.00,0.00535496207833
17963,17963,11-3111.00,11-9199.03,0.00716859017796
18004,18004,11-3111.00,13-2031.00,0.0063689576915
18007,18007,11-3111.00,13-2052.00,0.00640447440755
18490,18490,11-3111.00,41-1012.00,0.00582790475514
18876,18876,11-3121.00,11-9032.00,0.00703788264993
18884,18884,11-3121.00,11-9071.00,0.00714271041002
18892,18892,11-3121.00,11-9151.00,0.00361887308613
18918,18918,11-3121.00,13-1081.00,0.00717947955509
18934,18934,11-3121.00,13-2011.02,0.00591465417052
18971,18971,11-3121.00,15-1199.09,0.00490155301192
19085,19085,11-3121.00,19-3051.00,0.00594889084838
19121,19121,11-3121.00,21-2021.00,0.00361013739755
19423,19423,11-3121.00,41-1012.00,0.00456131099924
19808,19808,11-3131.00,11-9032.00,0.00476571962397
19810,19810,11-3131.00,11-9039.01,0.00635263325964
19816,19816,11-3131.00,11-9071.00,0.00473292590139
20053,20053,11-3131.00,21-2021.00,0.00603002159862
20378,20378,11-3131.00,43-1011.00,0.00681701227573
20736,20736,11-9013.01,11-9013.03,0.00653061585107
20745,20745,11-9013.01,11-9051.00,0.0062226536402
21097,21097,11-9013.01,29-1021.00,0.00706186791189
21228,21228,11-9013.01,35-1011.00,0.00648363935009
21373,21373,11-9013.01,45-1011.06,0.00490067410823
21375,21375,11-9013.01,45-1011.08,0.00423414244638
21666,21666,11-9013.02,11-9013.03,0.0063501367451
22303,22303,11-9013.02,45-1011.06,0.00336502355926
22304,22304,11-9013.02,45-1011.07,0.00427690589646
22305,22305,11-9013.02,45-1011.08,0.00498512370355
22315,22315,11-9013.02,45-4011.00,0.00618632807078
22566,22566,11-9013.02,53-5021.01,0.00644530728794
22603,22603,11-9013.03,11-9041.01,0.00668597460095
22707,22707,11-9013.03,17-1022.00,0.00651794254757
22756,22756,11-9013.03,17-3025.00,0.00668978407873
22782,22782,11-9013.03,19-1031.03,0.00664738038971
22824,22824,11-9013.03,19-4091.00,0.0048266047304
